Season,Week,Event ID,Commence Time,Bookmaker,Last Update,Away,Home,Market,Team / Side,Line,American Odds,Raw Implied,Pair Key,No-Vig Implied,Source URL
2026,2,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,DraftKings,2026-09-17T19:42:59Z,Detroit Lions,Buffalo Bills,h2h,Buffalo Bills,,-250,0.71428571,draftkings|56e8897681915f7ec92baeee952bb1ae|h2h|event,0.68539326,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,2,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,DraftKings,2026-09-17T19:42:59Z,Detroit Lions,Buffalo Bills,h2h,Detroit Lions,,205,0.32786885,draftkings|56e8897681915f7ec92baeee952bb1ae|h2h|event,0.31460674,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,2,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,DraftKings,2026-09-17T19:42:59Z,Detroit Lions,Buffalo Bills,spreads,Buffalo Bills,-5.5,-110,0.52380952,draftkings|56e8897681915f7ec92baeee952bb1ae|spreads|event,0.5,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,2,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,DraftKings,2026-09-17T19:42:59Z,Detroit Lions,Buffalo Bills,spreads,Detroit Lions,5.5,-110,0.52380952,draftkings|56e8897681915f7ec92baeee952bb1ae|spreads|event,0.5,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,2,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,DraftKings,2026-09-17T19:42:59Z,Detroit Lions,Buffalo Bills,totals,Over,54.5,-120,0.54545455,draftkings|56e8897681915f7ec92baeee952bb1ae|totals|54.5,0.52173913,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,2,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,DraftKings,2026-09-17T19:42:59Z,Detroit Lions,Buffalo Bills,totals,Under,54.5,100,0.5,draftkings|56e8897681915f7ec92baeee952bb1ae|totals|54.5,0.47826087,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,2,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,FanDuel,2026-09-17T19:43:26Z,Detroit Lions,Buffalo Bills,h2h,Buffalo Bills,,-255,0.71830986,fanduel|56e8897681915f7ec92baeee952bb1ae|h2h|event,0.69009166,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,2,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,FanDuel,2026-09-17T19:43:26Z,Detroit Lions,Buffalo Bills,h2h,Detroit Lions,,210,0.32258065,fanduel|56e8897681915f7ec92baeee952bb1ae|h2h|event,0.30990834,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,2,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,FanDuel,2026-09-17T19:43:26Z,Detroit Lions,Buffalo Bills,spreads,Buffalo Bills,-5.5,-112,0.52830189,fanduel|56e8897681915f7ec92baeee952bb1ae|spreads|event,0.50432976,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,2,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,FanDuel,2026-09-17T19:43:26Z,Detroit Lions,Buffalo Bills,spreads,Detroit Lions,5.5,-108,0.51923077,fanduel|56e8897681915f7ec92baeee952bb1ae|spreads|event,0.49567024,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,2,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,FanDuel,2026-09-17T19:43:26Z,Detroit Lions,Buffalo Bills,totals,Over,54.5,-114,0.53271028,fanduel|56e8897681915f7ec92baeee952bb1ae|totals|54.5,0.50866401,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
